code,food_name_text,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
12_0013,Payesh* Payesh,1,205,864,53.8,4.3,4.7,36.2,0.2,0.9,132,0.2,31,120,169,65,0.65,0.11,39,38,20,0,0.1,0.07,0.33,0.3,0.056,7,1.7,"140,141,142"
13_0001,"Butter, salted Makhon, nonta",1,733,3010,15.9,0.9,81,0.2,0,2.1,24,0,2,24,24,714,0.09,0,633,620,158,1.5,1.85,0.01,0.03,0.04,0.003,3,0,"147,148,149"
13_0002,Cottonseed oil Tular bij er tel,1,900,3700,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.77,0,0,0,0,0,0,"147,148,149"
13_0003,"Fish oil, cod liver Kod liver tel",1,900,3700,0,0,100,0,0,0,1,0.1,0,0,0,0,0.06,0.01,2500,30000,0,250,30,0,0,0,0,0,0,"147,148,149"
13_0004,"Ghee, cow Ghee, gorur",1,898,3690,0.1,0,99.8,0,0,0.1,1,0.2,0,0,1,2,0.01,0.01,,,,,,,,,,,,"147,148,149"
13_0005,"Ghee, vegetable Dalda/Bonoshpati",1,900,3700,0,0,100,0,0,0,2,0.2,0,0,1,1,0.04,0.01,,,,,,,,,,,,"147,148,149"
13_0006,Margarine Margarine,1,750,3080,16,0.3,83.3,0,0,2.3,10,0.1,2,10,52,504,0.05,0.01,810,780,360,0,8.5,0.01,0.03,0,0.003,2,0,"147,148,149"
13_0007,"Mayonnaise, salted Mayonnaise, nonta",1,732,3010,16.4,1.5,80.6,0,0,1.5,8,0.3,4,43,25,488,0.25,0.03,,,,,,,,,,,,"147,148,149"
13_0008,Mustard oil Sorishar tel,1,900,3700,0,0,100,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,"147,148,149"
13_0009,Palm oil Palm tel,1,900,3700,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.12,0,0,0,0,0,0,"147,148,149"
13_0010,Peanut oil China badam er tel,1,900,3700,0,0,100,0,0,0,,,,,,,,,0,0,0,0,15.16,0,0,0,0,0,0,"147,148,149"
13_0011,Sesame oil Tiler tel,1,900,3700,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,"147,148,149"
13_0012,Soybean oil Soybean tel,1,900,3700,0,0,100,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,0,0,16.06,0,0,0,0,0,0,"147,148,149"
14_0001,Coconut water Daber pani,1,20,83,94.5,0.6,0.3,3.2,1.1,0.3,20,0.2,25,18,260,96,0.1,0.04,0,0,0,0,0,0.06,0.03,0.1,0.032,3,3.3,"154,155"
14_0002,"Coffee, dudh o chini soho",1,38,160,91.3,0.9,0.8,6.8,0,0.3,33,0.2,7,25,65,14,0.12,0.01,7,7,4,0,0.02,0.01,0.04,0.3,0.008,1,0.3,"154,155"
14_0003,"Coffee, powder Coffee",1,355,1300,3.1,12.2,0.5,75.4,0,8.8,141,4.4,327,303,3540,37,0.35,0.14,0,0,0,0,0,0.01,0.07,28.2,0.029,0,0,"154,155"
14_0004,"Soft drinks, carbonated Komol paniyo",1,41,175,89.6,0,0,10.3,0,0.1,6,0.3,0,11,1,4,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,"154,155"
14_0005,Soya milk (not sweetened) Soybean dudh,1,54,225,87.8,2.8,2.4,4.9,0.5,1.6,13,0.43,15,48,74,32,0.3,0.09,0,0,0,0,0.32,0.06,0.05,0.8,0.03,9,0,"154,155"
14_0006,Sugar cane Juice Akher ross,1,33,139,91.7,0.7,0,7.5,0,0.1,8,1.1,10,6,25,7,0.01,0.06,,,,,,,,,,,,"154,155"
14_0007,Dudh cha,1,41,172,90.4,0.73,0.8,7.6,0.2,0.3,28,0.4,5,23,48,14,0.11,0.02,,,,,,,,,,,,"154,155"
14_0008,"Tea, infusion (with sugar) Likar cha",1,29,125,92.4,0.21,0,7.1,0.1,0.2,5,0.1,4,3,64,3,0.03,0.01,,,,,,,,,,,,"154,155"
14_0009,"Tea, powder Cha pata",1,296,1250,5.7,20.2,0,49.5,8.5,16,118,2.3,272,239,6040,72,1.69,0.55,0,0,0,0,0,0,0.99,10.8,0.356,103,0,"154,155"
14_0010,"Water, drinking Khabar pani",1,0,0,100,0,0,0,0,0,3,0.1,2,0,0,3,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,"154,155"
15_0001,Baking powder,,,,,,,,,,11300,0,9,8430,49,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,"159,160"
15_0002,"Betel leaves, raw Pan pata",1,42,175,85.4,3.1,0.4,4.1,4.7,2.3,230,7,82,60,684,3,1,0.3,,,,,,,,,,,,"159,160"
15_0003,Honey Modhu,1,326,1390,18.2,0.3,0,81.1,0.2,0.2,5,0.5,2,9,51,9,0.49,0.04,0,0,0,0,0,0,0.06,0.16,0.16,1,1.4,"159,160"
15_0004,"Jaggery, sugarcane, solid Gur, Akh",1,385,1630,3.4,0.5,0.1,95.4,0,0.6,92,1.6,120,72,290,79,0.1,0.75,,,,,,,,,,,,"159,160"
15_0005,"Jaggery/Panela, date palm Gur, Khejur",1,352,1500,9.6,1.5,0.3,85.7,0.3,2.6,,,,,,,,,,,,,,,,,,,,"159,160"
15_0006,"Jagggery liquid, date palm Nolen gur",1,86,365,78.3,0.3,0.1,20.9,0.1,0.3,,,,,,,,,,,,,,,,,,,,"159,160"
15_0007,Salt,,,,,,,,,,0,0,0,0,0,39340,0,0,0,0,0,0,0,0,0,0,0,0,0,"159,160"
15_0008,"Sugar, white Chini, sada",1,398,1690,0.4,0,0,99.5,0,0.1,12,0.2,2,1,5,5,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,"159,160"
