code,food_name_text,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
09_0009,"Bata, raw Bata",0.77,106,446,74.6,15.9,4.7,0,0,2.1,493,1.2,33,200,201,83,0.94,0.17,,,,,,,,,,,,"110,111,112"
09_0010,"Boal, without bones, raw Boal, kata chara",0.59,80,339,80.8,15.4,2.1,0,0,1.3,83,0.8,37,134,146,63,0.27,0.05,,,,,,,,,,,,"110,111,112"
09_0011,"Bronze feather back, raw Foli",0.79,80,340,75.8,17.8,1,0,0,2.7,590,1,35,450,310,34,0.74,0.05,,,,,,,,,,,,"110,111,112"
09_0012,"Calbasu, without bones, raw Kalbaush",0.9,95,400,76.7,17,3,0,0,1.2,13,1.1,27,141,287,100,0.36,0.1,,,,,,,,,,,,"110,111,112"
09_0013,"Catfish, Bacha, raw Bacha",0.76,122,512,72.2,16.1,6.4,0,0,2.2,,,,,,,,,,,,,,,,,,,,"110,111,112"
09_0014,"Catfish, Pabda, raw Pabda",0.61,95,398,73.7,17.3,2.8,0,0,2.3,267,1.2,18,266,353,105,1.25,0.09,,,,,,,,,,,,"110,111,112"
09_0015,"Catla, raw Katla",0.59,103,433,76.7,19.9,2.6,0,0,1.3,530,0.6,36,235,293,56,0.48,0.03,,,,,,,,,,,,"110,111,112"
09_0016,"(kcal) kJ (g) (g) (g) available (g) (g) Chanda, Indian glaasy fish, eyes Chanda, ranga, chokh",1,115,481,74.8,15.5,5.9,0,0,4.8,,,,,,,,,,,,,,,,,,,,"113,114,115"
09_0017,"Koi, deshi, chokh soho",0.57,130,542,73,17.5,6.6,0,0,2,410,1.2,53,390,214,52,1.13,0.04,,,,,,,,,,,,"113,114,115"
09_0018,"Koi, Thai, chokh soho",0.57,139,581,73,17.5,7.7,0,0,1.5,64,1.2,53,161,214,52,1.13,0.04,,,,,,,,,,,,"113,114,115"
09_0019,"Chital, kata chara",0.8,96,405,77.3,17.8,2.8,0,0,1,104,1.6,23,197,203,114,0.61,0.02,,,,,,,,,,,,"113,114,115"
09_0020,"Common carp, without bones, raw Common carp, kata chara",0.54,88,374,79,18.7,1.5,0,0,1.2,47,0.9,25,240,228,93,0.73,0.06,2,2,0,6.6,0.63,0.12,0.06,5.8,0.18,15,0,"113,114,115"
09_0021,"Poa, kata chara",0.49,100,422,75.8,18.6,2.9,0,0,1.2,32,0.4,28,162,341,77,0.65,0.02,17,17,0,0.6,1.17,0.07,0.11,7.7,0.344,17,0,"113,114,115"
09_0022,"bones, raw Day's mystus, combined species, Tengra, bivinno projati,",0.82,114,478,73.6,18.2,4.6,0,0,4,627,2.8,22,348,323,54,0.77,0.18,,,,,,,,,,,,"113,114,115"
09_0023,"Fish (Catla, Mrigal, Rohu), dorsal",,,,,,,,,,38,0.9,41,164,267,50,0.27,0.02,6,6,3,2.1,0.69,0.07,0.09,4.9,0.196,16,0,"113,114,115"
09_0024,"with skin, raw Fish (Catla, Mrigal, Rohu), ventral",,,,,,,,,,43,1,45,186,303,57,0.27,0.02,10,10,5,3.7,1.21,0.08,0.1,5.6,0.222,18,0,"113,114,115"
09_0025,"Kachki, bivinno projati",1,93,393,80.4,16.1,3.2,0,0,1.6,489,2.4,26,450,134,38,3.1,0.05,38,35,35,2.4,0.77,0.03,0.05,3.5,0.243,7,0,"113,114,115"
09_0026,"Gangetic ailia, raw Kajuli",0.76,117,488,76.6,15.3,6.2,0,0,2,,,,,,,,,,,,,,,,,,,,"113,114,115"
09_0027,"Gangetic mystus, raw Gulsha",0.68,86,363,78.6,15.4,2.7,0,0,2.4,300,1.3,18,210,265,50,0.88,0.14,,,,,,,,,,,,"113,114,115"
09_0028,"Giant river-catfish, raw Guizza",0.77,75,318,78.1,15.9,1.3,0,0,1.2,380,0.7,36,180,271,84,0.23,0.06,,,,,,,,,,,,"116,117,118"
09_0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,117,118"
09_0030,"Giant sea perch, without bones, raw Vetkee, kata chara",0.5,96,406,77.2,18.6,2.5,0,0,1.7,24,1,58,194,237,96,0.16,0.12,8,8,0,1.5,2.35,0.04,0.18,0.7,0.12,5,0,"116,117,118"
09_0031,"Goby, Tank goby, raw Bele",0.71,81,341,79.6,14.7,2.5,0,0,2.7,397,1.2,12,335,269,79,0.93,0.07,,,,,,,,,,,,"116,117,118"
09_0032,"Gourami, Banded gourami, eyes Khailsa, kata chara,",0.57,105,438,75.2,15.8,4.6,0,0,1.4,422,0.9,36,498,201,34,1.35,0.51,,,,,,,,,,,,"116,117,118"
09_0033,"Hilsha, without bones, raw Ilish, kata chara",0.76,223,926,62.7,18,16.8,0,0,1.9,86,1.3,26,195,162,52,0.54,0.18,,,,,,,,,,,,"116,117,118"
09_0034,"Indian river shad, raw Chapila",1,106,442,76.9,15.4,4.9,0,0,4.4,,,,,,,,,,,,,,,,,,,,"116,117,118"
09_0035,"Indian threadfin, without bones, raw",,,,,,,,,,53,0.5,29,208,278,75,1.35,0.05,,,,,,,,,,,,"116,117,118"
09_0036,"Indo-pacific king mackerel, without",,,,,,,,,,35,0.8,40,259,306,78,0.78,0.02,,,,,,,,,,,,"116,117,118"
09_0037,"Kuria labeo, without bones, raw Gonia, kata chara",0.44,109,459,76.5,17.6,4.3,0,0,1.1,30,0.3,42,175,203,60,0.06,0.09,,,,,,,,,,,,"116,117,118"
09_0038,"Ayre, kata chara",0.77,89,373,78.1,17,2.3,0,0,1.2,11,0.9,36,102,271,84,0.23,0.09,,,,,,,,,,,,"116,117,118"
09_0039,"Mackerel, narrow-barred Spanish, raw",,,,,,,,,,92,2,48,161,285,145,0.4,0.02,,,,,,,,,,,,"116,117,118"
09_0040,"Minnow, Finescale razorbelly, raw Chela, Fulchela",0.72,95,397,77.6,15.3,3.7,0,0,3,,,,,,,,,,,,,,,,,,,,"116,117,118"
09_0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,117,118"
09_0042,"Minnow, Large scale razorbelly, raw Chela, narkeli",0.72,119,501,71.7,18.1,5.2,0,0,2.1,352,5.4,41,202,578,156,3.1,0.12,,,,,,,,,,,,"119,120,121"
09_0043,"Mola, chokh soho",0.62,108,452,77.5,17.1,4.4,0,0,2.7,,,,,,,,,,,,,,,,,,,,"119,120,121"
09_0044,"Mrigal carp, eyes included, raw Mrigal, chokh soho",0.59,102,428,78.4,18.6,3,0,0,1.6,655,1.8,38,280,236,63,0.29,0.02,,,,,,,,,,,,"119,120,121"
09_0045,"Mullet, Gold spot, raw",,,,,,,,,,1050,2.1,42,490,764,41,1.43,0.14,,,,,,,,,,,,"119,120,121"
09_0046,"Mussel/Clam, mixed species, raw Jhinuk",0.32,60,255,83.3,11.6,1.5,0,0,0.9,31,1.3,15,157,37,477,0.4,0.04,,,,,,,,,,,,"119,120,121"
09_0047,"Pangas, without bones, raw Pangas, kata chara",0.44,162,676,70.8,15.9,11,0,0,1,14,0.1,29,130,169,46,1.85,0.07,,,,,,,,,,,,"119,120,121"
09_0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119,120,121"
09_0049,"Pomfret, Black, raw",0.49,112,471,78.9,19.6,3.7,0,0,1.1,286,0.9,25,306,166,131,0.48,0.02,,,,,,,,,,,,"119,120,121"
09_0050,"Pomfret, Chinese Silver, raw Rupchanda, China sada",0.92,103,432,74.9,15.9,4.4,0,0,1.5,200,0.4,26,290,183,145,0.59,0.03,,,,,,,,,,,,"119,120,121"
09_0051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119,120,121"
09_0052,"Pomfret, Silver, without bones, raw",,,,,,,,,,13,0.5,25,170,190,151,0.27,0.09,,,,,,,,,,,,"119,120,121"
09_0053,"Prawn, Birma river prawn, raw",,,,,,,,,,16,0.6,19,141,375,98,1.06,0.57,,,,,,,,,,,,"119,120,121"
09_0054,"Prawn, Giant river prawn, raw",,,,,,,,,,18,0.7,22,166,441,116,1.25,0.68,,,,,,,,,,,,"119,120,121"
09_0055,"Prawn, Giant tiger prawn, raw",,,,,,,,,,17,0.6,43,141,423,117,1.73,0.63,,,,,,,,,,,,"119,120,121"
09_0056,"Prawn, Hairy river prawn, raw",,,,,,,,,,15,0.5,18,132,352,92,1,0.54,,,,,,,,,,,,"119,120,121"
09_0057,"Prawn, Indian white prawn, raw",,,,,,,,,,304,0.5,41,922,545,196,2.25,0.52,,,,,,,,,,,,"119,120,121"
09_0058,"Prawn, Monsoon river prawn, raw",,,,,,,,,,15,0.5,18,133,355,93,1.01,0.54,,,,,,,,,,,,"122,123,124"
09_0059,"Rohu, river, raw Rui, nodir",0.8,90,381,76.7,16.6,2.7,0,0,1.2,650,1,12,175,288,101,1.13,0.35,,,,,,,,,,,,"122,123,124"
09_0060,"Rohu, without bones, raw Rui, kata chara",0.44,105,444,76.3,20.6,2.6,0,0,0.9,30,0.4,37,175,309,38,1.13,0.35,,,,,,,,,,,,"122,123,124"
09_0061,"Shrimp, Speckled, raw",,,,,,,,,,421,0.6,26,941,503,117,1.36,0.56,,,,,,,,,,,,"122,123,124"
09_0062,"Silver carp, without bones, raw Silver carp, kata chara",0.78,123,517,75.6,17.5,6,0,0,1.1,22,1.5,27,182,225,115,0.28,0.02,,,,,,,,,,,,"122,123,124"
09_0063,"Silver needle fish, eyes included,",,,,,,,,,,210,0.8,25,470,243,55,0.94,0.1,,,,,,,,,,,,"122,123,124"
09_0064,"Spotted snakehead, raw",,,,,,,,,,624,1.5,35,440,245,68,1.08,0.16,,,,,,,,,,,,"122,123,124"
09_0065,"Stinging catfish, raw Shing mach, kata chara",0.75,101,423,76.7,17.2,3.5,0,0,2.5,,,,,,,,,,,,,,,,,,,,"122,123,124"
09_0066,"Stone roller, raw Tatkini",0.77,97,405,76.2,15.3,3.9,0,0,2.6,195,2.2,52,124,834,35,1.09,0.09,,,,,,,,,,,,"122,123,124"
09_0067,"Striped snake-head, raw Shol, kata chara",0.77,101,424,78.4,17.7,3.3,0,0,1.4,104,1,43,130,362,50,0.31,0.2,,,,,,,,,,,,"122,123,124"
09_0068,"Tilapia, without bones, raw Telapia, kata chara",0.3,110,466,76.2,20.8,3,0,0,1.1,19,0.5,36,350,341,55,1.4,0.11,2,2,0,5.5,0.71,0.97,0.09,8,0.111,24,0,"122,123,124"
09_0069,"Tuna, without bones, raw Tuna, kata chara",0.58,118,497,72,25,2,0,0,1.3,16,1.3,33,312,427,47,0.27,0.15,,,,,,,,,,,,"122,123,124"
09_0070,"Walking catfish, without bones, raw Magur, kata chara",0.79,103,434,77.6,15.6,4.6,0,0,1.1,27,0.8,25,180,344,71,0.53,0.06,,,,,,,,,,,,"122,123,124"
09_0071,Small fish fry* Kachki mach vaja,1,107,449,79.3,7.4,6.1,5.3,0.9,1.6,215,1.3,20,186,148,242,1.6,0.18,15,13,24,0.9,0.5,0.03,0.05,0.4,0.165,7,5.3,"113,114,115"
09_0072,Fish ball* Macher kopta,1,220,923,48.5,15.7,6.7,21.7,5,2.1,48,2.5,73,211,296,345,1.96,0.52,34,23,121,0.2,0.89,0.24,0.15,2,0.18,15,5.2,"113,114,115"
10_0001,"Beef liver, raw Gorur koliza",1,130,547,70.8,20.4,3.6,3.9,0,1.3,4,3.5,18,387,313,69,3.71,1.5,4968,4948,244,1.2,0.38,0.19,2.76,13.2,1.083,290,1.3,"129,130,131"
10_0002,"Beef, meat, lean, boneless, raw",1,103,436,76,20.7,2.3,0,0,1,4,2,15,190,395,52,3.52,0.14,0,0,0,0.4,0.23,0.06,0.19,10.03,0.32,7,0,"129,130,131"
10_0003,"Beef, meat, 15-20% fat, boneless, raw Gorur mangsaw, harh chara",1,207,860,65.4,19.7,14.2,0,0,0.9,5,2.2,22,170,309,69,4.6,0.07,15,15,0,0.6,0.35,0.05,0.2,9.3,0.32,9,0,"129,130,131"
10_0004,"Beef, mince, lean, raw Gorur mangsaw, kima",1,126,530,75,20.3,5,0,0,1,9,2.4,22,198,346,66,5.09,0.08,0,0,0,0.1,0.28,0.04,0.16,5.5,0.392,5,0,"129,130,131"
10_0005,"Buffalo meat, raw Mohisher mangsaw",1,95,400,78.7,19.4,1.9,0,0,1,12,1.6,32,189,297,53,1.93,0.15,0,0,0,0.1,0.05,0.04,0.2,6,0.53,8,0,"129,130,131"
10_0006,"Chicken breast, without skin, raw",0.76,106,447,72.9,22.3,1.8,0,0,1.1,15,0.5,32,173,315,37,1.7,0.06,25,25,0,0.1,0.12,0.12,0.07,11.4,0.315,7,0,"129,130,131"
10_0007,"Chicken leg, without skin, raw",0.72,128,537,71.9,19.2,5.7,0,0,1,18,1,29,180,299,55,2.09,0.22,23,23,0,0.1,0.24,0.09,0.12,9.5,0.35,4,0,"129,130,131"
10_0008,"Chicken liver, raw Murgir koliza",1,114,479,76.5,16.9,4.8,0.7,0,1.1,18,9,19,297,230,71,2.5,0.29,3296,3290,67,0,0.7,0.31,1.78,9.7,0.853,588,17.9,"129,130,131"
